Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
1,1,2014-10-29,24-344,DEN,,DET,W (+10),1,27:41,8,12,.667,0,0,,6,8,.750,7,10,17,4,0,0,3,4,22,22.1,+4,farieke01
2,2,2014-11-01,24-347,DEN,@,OKC,L (-11),1,25:03,3,8,.375,0,0,,1,2,.500,2,4,6,0,0,2,1,1,7,4.8,-14,farieke01
3,3,2014-11-03,24-349,DEN,,SAC,L (-5),1,38:04,5,13,.385,0,0,,0,0,,4,6,10,4,1,0,2,3,10,8.1,-8,farieke01
4,4,2014-11-05,24-351,DEN,@,SAC,L (-22),1,21:14,1,5,.200,0,0,,2,2,1.000,1,4,5,1,0,1,2,3,4,1.0,-15,farieke01
5,5,2014-11-07,24-353,DEN,,CLE,L (-9),1,21:36,4,8,.500,0,0,,0,0,,2,5,7,1,0,1,1,1,8,6.9,-19,farieke01
6,6,2014-11-09,24-355,DEN,@,POR,L (-16),1,30:40,7,16,.438,0,0,,5,5,1.000,5,2,7,1,0,3,2,3,19,14.3,-14,farieke01
7,7,2014-11-12,24-358,DEN,,POR,L (-17),1,23:33,3,8,.375,0,0,,4,4,1.000,2,2,4,1,1,0,0,4,10,7.7,-10,farieke01
8,8,2014-11-14,24-360,DEN,@,IND,W (+21),1,23:36,5,6,.833,0,0,,2,4,.500,2,4,6,0,1,0,1,3,12,10.4,+12,farieke01
9,9,2014-11-16,24-362,DEN,@,NYK,L (-16),1,32:00,7,9,.778,0,0,,2,5,.400,4,5,9,1,2,0,2,4,16,14.7,0,farieke01
10,10,2014-11-17,24-363,DEN,@,CLE,W (+9),1,21:38,4,6,.667,0,0,,0,0,,1,0,1,1,1,2,1,2,8,7.4,+10,farieke01
11,11,2014-11-19,25-000,DEN,,OKC,W (+7),1,30:04,3,7,.429,0,0,,2,3,.667,3,7,10,0,1,0,1,0,8,8.1,+13,farieke01
12,12,2014-11-21,25-002,DEN,,NOP,W (+20),1,27:15,7,12,.583,1,1,1.000,4,5,.800,3,5,8,2,1,0,1,2,19,17.2,+6,farieke01
13,13,2014-11-23,25-004,DEN,@,LAL,W (+7),1,19:12,4,9,.444,0,0,,0,3,.000,0,1,1,0,1,0,1,0,8,2.4,-11,farieke01
14,14,2014-11-25,25-006,DEN,,CHI,W (+5),1,23:31,5,11,.455,0,0,,2,5,.400,4,5,9,0,1,0,1,1,12,9.0,+8,farieke01
15,15,2014-11-26,25-007,DEN,@,PHO,L (-8),1,29:24,3,8,.375,0,0,,2,4,.500,2,3,5,1,1,0,5,2,8,1.0,+4,farieke01
16,16,2014-11-28,25-009,DEN,,PHO,W (+25),1,20:28,3,6,.500,0,0,,5,5,1.000,3,6,9,1,0,0,1,3,11,10.4,+15,farieke01
17,17,2014-12-01,25-012,DEN,@,UTA,W (+2),1,29:01,4,9,.444,0,0,,3,4,.750,2,3,5,2,0,1,1,1,11,8.9,+1,farieke01
18,18,2014-12-02,25-013,DEN,,POR,L (-2),1,23:41,4,6,.667,0,0,,0,0,,0,5,5,0,0,0,0,2,8,6.1,-1,farieke01
19,19,2014-12-05,25-016,DEN,@,WAS,L (-30),1,18:23,4,5,.800,0,0,,1,2,.500,1,2,3,1,2,0,5,1,9,5.3,-10,farieke01
22,20,2014-12-10,25-021,DEN,,MIA,W (+20),0,22:07,4,9,.444,0,0,,5,6,.833,4,4,8,1,0,0,0,2,13,11.8,+11,farieke01
23,21,2014-12-13,25-024,DEN,@,HOU,L (-12),0,20:08,3,7,.429,0,0,,1,2,.500,1,2,3,2,0,1,0,3,7,5.1,+2,farieke01
25,22,2014-12-17,25-028,DEN,,HOU,L (-4),1,32:19,5,12,.417,0,0,,1,2,.500,4,7,11,2,0,0,3,6,11,5.1,-14,farieke01
26,23,2014-12-19,25-030,DEN,,LAC,W (+3),1,28:17,6,9,.667,0,0,,2,3,.667,1,6,7,2,1,0,4,5,14,8.6,+10,farieke01
27,24,2014-12-20,25-031,DEN,,IND,W (+3),1,25:05,2,10,.200,0,0,,0,0,,3,3,6,1,1,0,0,4,4,0.9,+6,farieke01
28,25,2014-12-22,25-033,DEN,@,CHO,L (-28),1,21:22,2,3,.667,0,1,.000,4,5,.800,3,6,9,0,0,1,2,1,8,8.5,-13,farieke01
29,26,2014-12-23,25-034,DEN,@,BRK,L (-6),1,31:57,8,11,.727,0,0,,4,5,.800,5,9,14,2,1,1,3,3,20,20.2,+12,farieke01
30,27,2014-12-26,25-037,DEN,,MIN,W (+4),1,29:46,11,15,.733,0,0,,4,5,.800,12,13,25,3,0,0,4,5,26,27.9,+20,farieke01
31,28,2014-12-28,25-039,DEN,,TOR,L (-14),1,38:06,8,19,.421,0,1,.000,1,2,.500,7,12,19,2,0,0,2,1,17,14.0,-2,farieke01
32,29,2014-12-30,25-041,DEN,,LAL,L (-8),1,20:39,2,7,.286,0,0,,0,0,,3,1,4,2,2,1,1,3,4,4.2,-13,farieke01
33,30,2015-01-01,25-043,DEN,@,CHI,L (-5),1,35:56,7,14,.500,0,0,,4,4,1.000,7,12,19,3,2,3,1,2,18,23.9,+5,farieke01
34,31,2015-01-03,25-045,DEN,,MEM,W (+29),1,28:23,5,10,.500,0,1,.000,3,4,.750,2,11,13,1,0,0,3,2,13,9.2,+15,farieke01
35,32,2015-01-05,25-047,DEN,@,MIN,W (+9),1,24:21,6,10,.600,0,0,,3,6,.500,2,5,7,2,0,0,2,4,15,9.9,0,farieke01
36,33,2015-01-07,25-049,DEN,,ORL,W (+3),1,25:55,1,6,.167,0,0,,0,0,,1,11,12,1,1,1,2,1,2,2.2,-5,farieke01
37,34,2015-01-09,25-051,DEN,@,SAC,W (+10),1,36:12,5,8,.625,0,0,,2,5,.400,3,10,13,3,1,1,1,5,12,13.1,+26,farieke01
38,35,2015-01-14,25-056,DEN,,DAL,W (+7),1,29:30,7,12,.583,0,0,,8,8,1.000,4,10,14,0,0,2,3,2,22,19.8,+2,farieke01
39,36,2015-01-16,25-058,DEN,@,DAL,L (-8),1,27:37,5,5,1.000,0,0,,1,2,.500,4,4,8,1,1,2,1,2,11,14.4,-14,farieke01
40,37,2015-01-17,25-059,DEN,,MIN,L (-8),1,30:35,3,5,.600,0,0,,0,0,,2,6,8,1,3,1,2,0,6,9.3,-7,farieke01
41,38,2015-01-19,25-061,DEN,@,GSW,L (-43),1,20:08,2,6,.333,0,0,,3,5,.600,2,7,9,1,0,1,3,0,7,4.7,-30,farieke01
42,39,2015-01-20,25-062,DEN,,SAS,L (-10),1,37:21,9,17,.529,0,0,,8,12,.667,5,9,14,1,0,0,1,4,26,20.4,-3,farieke01
43,40,2015-01-23,25-065,DEN,,BOS,L (-1),1,38:01,4,12,.333,0,0,,3,5,.600,4,10,14,3,0,1,1,4,11,9.4,+7,farieke01
44,41,2015-01-25,25-067,DEN,,WAS,L (-2),1,38:33,4,10,.400,0,0,,1,4,.250,4,7,11,1,0,2,0,5,9,7.4,-7,farieke01
45,42,2015-01-26,25-068,DEN,@,LAC,L (-4),1,30:12,6,9,.667,0,0,,2,3,.667,1,1,2,0,0,0,0,1,14,10.3,+2,farieke01
46,43,2015-01-28,25-070,DEN,@,NOP,W (+8),1,32:28,6,11,.545,0,0,,2,3,.667,2,5,7,1,2,1,0,3,14,13.4,+8,farieke01
47,44,2015-01-29,25-071,DEN,@,MEM,L (-30),1,22:54,5,11,.455,0,0,,0,0,,1,6,7,1,0,0,1,3,10,5.3,-14,farieke01
49,45,2015-02-03,25-076,DEN,@,PHI,L (-7),1,19:21,0,6,.000,0,0,,0,0,,0,5,5,0,1,0,1,3,0,-3.9,-8,farieke01
50,46,2015-02-04,25-077,DEN,@,BOS,L (-4),1,31:58,6,8,.750,0,0,,5,5,1.000,3,8,11,0,0,1,1,3,17,16.8,+11,farieke01
51,47,2015-02-06,25-079,DEN,@,DET,L (-10),1,24:49,4,9,.444,0,0,,2,4,.500,4,2,6,2,3,2,1,5,10,10.7,+1,farieke01
52,48,2015-02-09,25-082,DEN,,OKC,L (-10),1,33:00,8,14,.571,0,0,,6,8,.750,5,5,10,1,0,0,1,4,22,17.7,0,farieke01
53,49,2015-02-10,25-083,DEN,@,LAL,W (+10),1,21:35,1,5,.200,0,0,,0,1,.000,0,5,5,0,1,0,0,3,2,-0.2,-11,farieke01
54,50,2015-02-20,25-093,DEN,@,MIL,L (-8),1,22:35,4,11,.364,0,0,,0,1,.000,3,2,5,1,1,0,3,2,8,2.1,+1,farieke01
55,51,2015-02-22,25-095,DEN,@,OKC,L (-25),1,21:00,1,5,.200,0,0,,0,1,.000,2,5,7,0,1,1,0,1,2,2.7,-21,farieke01
56,52,2015-02-23,25-096,DEN,,BRK,L (-28),0,12:45,1,4,.250,0,0,,2,4,.500,3,2,5,1,0,1,1,3,4,2.7,-9,farieke01
58,53,2015-02-27,25-100,DEN,,UTA,L (-22),0,28:19,4,9,.444,0,0,,4,4,1.000,3,5,8,2,3,1,2,2,12,13.2,+15,farieke01
59,54,2015-03-01,25-102,DEN,,NOP,L (-7),1,26:40,1,6,.167,0,1,.000,1,2,.500,1,5,6,3,1,1,1,5,3,1.8,-7,farieke01
60,55,2015-03-03,25-104,DEN,,MIL,W (+11),1,32:18,5,10,.500,0,0,,4,5,.800,2,12,14,0,0,2,1,0,14,14.0,+12,farieke01
61,56,2015-03-04,25-105,DEN,@,MIN,W (+15),1,32:53,8,14,.571,0,0,,2,3,.667,4,10,14,2,2,2,3,3,18,17.4,+10,farieke01
62,57,2015-03-06,25-107,DEN,@,SAS,L (-9),1,33:46,9,15,.600,0,0,,2,6,.333,5,5,10,2,1,0,1,0,20,17.9,-12,farieke01
63,58,2015-03-07,25-108,DEN,,HOU,L (-14),1,34:21,1,5,.200,0,0,,2,2,1.000,1,8,9,0,2,3,2,4,4,4.5,+13,farieke01
64,59,2015-03-09,25-110,DEN,,NYK,W (+28),1,27:50,7,12,.583,0,0,,5,7,.714,4,7,11,1,1,1,1,3,19,17.7,+9,farieke01
