<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
74,74,2015-03-29,27-139,OKC,@,PHO,W (+12),0,31:36,6,9,.667,4,5,.800,3,3,1.000,0,1,1,3,1,0,2,3,19,15.3,+15
75,75,2015-04-01,27-142,OKC,,DAL,L (-4),0,19:33,1,4,.250,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,1.3,-4
76,76,2015-04-03,27-144,OKC,@,MEM,L (-8),0,17:10,1,4,.250,0,1,.000,1,2,.500,1,1,2,5,0,0,0,1,3,4.3,-10
77,77,2015-04-05,27-146,OKC,,HOU,L (-3),0,24:29,1,4,.250,1,4,.250,0,0,,0,1,1,1,1,0,2,0,3,0.6,-9
78,78,2015-04-07,27-148,OKC,,SAS,L (-25),0,21:40,2,6,.333,1,3,.333,0,0,,0,2,2,4,1,0,0,1,5,5.6,-5
79,79,2015-04-10,27-151,OKC,,SAC,W (+13),0,25:06,2,7,.286,1,6,.167,3,3,1.000,0,0,0,5,0,0,1,3,8,5.2,+3
80,80,2015-04-12,27-153,OKC,@,IND,L (-12),0,14:51,0,5,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,-3.2,+2
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,81,2015-04-13,27-154,OKC,,POR,W (+11),0,14:06,1,5,.200,0,0,,0,0,,0,2,2,2,0,0,0,0,2,0.9,-2
82,82,2015-04-15,27-156,OKC,@,MIN,W (+25),0,23:56,2,3,.667,1,1,1.000,0,0,,0,0,0,4,0,0,3,0,5,3.5,+8
