<!-- ALREADYCSV -->
33,,2015-01-05,29-002,MIN,,DEN,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2015-01-07,29-004,MIN,,PHO,L (-2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2015-01-09,29-006,MIN,,MIL,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2015-01-10,29-007,MIN,,SAS,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2015-01-13,29-010,MIN,,IND,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2015-01-16,29-013,MIN,,PHO,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2015-01-17,29-014,MIN,,DEN,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2015-01-19,29-016,MIN,,CHO,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,10,2015-01-21,29-018,MIN,,DAL,L (-23),0,22:53,5,11,.455,0,0,,4,4,1.000,0,4,4,0,0,0,1,0,14,8.5,-11
42,11,2015-01-23,29-020,MIN,,NOP,L (-8),0,21:21,5,11,.455,0,0,,3,4,.750,3,6,9,0,0,2,2,3,13,9.0,-7
43,12,2015-01-25,29-022,MIN,@,ATL,L (-12),1,36:08,4,10,.400,0,0,,7,8,.875,1,2,3,1,0,0,0,2,15,10.4,-8
44,13,2015-01-26,29-023,MIN,@,OKC,L (-8),1,29:52,3,12,.250,0,0,,2,4,.500,2,5,7,2,0,0,1,1,8,2.9,+2
45,14,2015-01-28,29-025,MIN,,BOS,W (+12),1,26:43,5,8,.625,0,0,,4,5,.800,0,2,2,2,1,0,1,2,14,11.2,+18
46,15,2015-01-30,29-027,MIN,@,PHI,L (-9),1,31:13,6,9,.667,0,0,,6,7,.857,3,4,7,2,1,1,1,1,18,18.7,-9
47,16,2015-01-31,29-028,MIN,,CLE,L (-16),1,27:32,4,11,.364,0,0,,6,6,1.000,3,9,12,3,0,0,2,1,14,12.4,-12
48,17,2015-02-02,29-030,MIN,@,DAL,L (-6),1,26:52,4,11,.364,0,0,,0,0,,3,7,10,0,1,0,3,4,8,2.5,+5
49,18,2015-02-04,29-032,MIN,,MIA,W (+1),1,20:42,5,7,.714,0,0,,3,4,.750,0,4,4,0,0,0,1,0,13,9.9,-3
50,19,2015-02-06,29-034,MIN,,MEM,W (+1),1,21:49,6,13,.462,0,0,,1,2,.500,1,2,3,0,1,1,2,4,13,5.3,+6
51,20,2015-02-08,29-036,MIN,@,DET,W (+11),1,32:30,9,16,.563,0,0,,11,12,.917,1,2,3,1,2,0,0,1,29,24.6,+18
52,21,2015-02-09,29-037,MIN,,ATL,L (-12),1,24:10,6,13,.462,0,0,,2,2,1.000,5,3,8,1,0,0,2,3,14,9.2,-15
53,22,2015-02-11,29-039,MIN,,GSW,L (-3),1,34:22,6,13,.462,0,0,,5,7,.714,4,9,13,4,0,2,0,0,17,19.2,+9
54,23,2015-02-20,29-048,MIN,,PHO,W (+2),1,35:54,5,16,.313,0,0,,6,8,.750,5,6,11,0,0,2,3,5,16,7.7,+4
55,24,2015-02-23,29-051,MIN,@,HOU,L (-11),1,34:24,6,18,.333,0,0,,4,4,1.000,7,6,13,2,2,0,4,4,16,10.3,-8
56,25,2015-02-25,29-053,MIN,,WAS,W (+20),1,34:54,6,14,.429,0,0,,3,4,.750,6,7,13,1,1,0,1,1,15,13.8,+16
57,26,2015-02-27,29-055,MIN,@,CHI,L (-7),1,29:05,4,8,.500,0,0,,4,4,1.000,4,7,11,0,0,0,1,1,12,11.5,-4
58,27,2015-02-28,29-056,MIN,,MEM,L (-4),1,12:09,0,5,.000,0,0,,1,2,.500,3,1,4,1,1,1,2,3,1,-1.3,-8
