<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,29,2014-12-30,30-242,ATL,,CLE,W (+8),0,24:30,2,6,.333,1,3,.333,1,2,.500,1,4,5,1,3,0,2,2,6,5.0,+8
32,30,2015-01-02,30-245,ATL,@,UTA,W (+6),0,17:45,2,5,.400,0,2,.000,2,2,1.000,1,0,1,4,3,0,1,1,6,8.4,-9
33,31,2015-01-03,30-246,ATL,@,POR,W (+8),0,27:32,3,4,.750,1,1,1.000,6,6,1.000,2,10,12,3,2,0,2,2,13,17.1,+10
34,32,2015-01-05,30-248,ATL,@,LAC,W (+9),0,21:18,0,1,.000,0,0,,0,0,,0,4,4,0,2,0,0,1,0,2.1,+3
35,33,2015-01-07,30-250,ATL,,MEM,W (+10),0,19:04,1,3,.333,0,0,,2,3,.667,0,3,3,2,2,0,0,0,4,6.2,+12
36,34,2015-01-09,30-252,ATL,@,DET,W (+3),0,15:11,5,5,1.000,2,2,1.000,0,0,,0,2,2,1,0,0,0,2,12,11.0,+5
37,35,2015-01-11,30-254,ATL,,WAS,W (+31),0,20:10,3,5,.600,1,1,1.000,2,2,1.000,5,3,8,2,1,0,1,1,9,12.1,+28
38,36,2015-01-13,30-256,ATL,@,PHI,W (+18),1,30:49,2,5,.400,0,1,.000,0,1,.000,0,4,4,2,0,1,2,0,4,2.2,+18
39,37,2015-01-14,30-257,ATL,@,BOS,W (+14),1,27:22,1,4,.250,0,2,.000,2,2,1.000,0,5,5,3,3,2,0,0,4,9.6,+28
40,38,2015-01-16,30-259,ATL,@,TOR,W (+21),0,16:56,2,3,.667,1,2,.500,0,0,,1,4,5,1,0,0,0,1,5,5.9,+6
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,39,2015-01-17,30-260,ATL,@,CHI,W (+8),0,19:59,2,6,.333,0,0,,0,0,,2,3,5,2,4,1,0,2,4,8.2,-3
42,40,2015-01-19,30-262,ATL,,DET,W (+11),0,17:19,1,2,.500,0,0,,0,0,,1,5,6,1,1,0,0,2,2,4.1,-4
43,41,2015-01-21,30-264,ATL,,IND,W (+19),0,19:26,3,7,.429,1,3,.333,1,2,.500,1,4,5,0,2,1,1,1,8,7.1,-1
44,42,2015-01-23,30-266,ATL,,OKC,W (+10),0,15:52,2,2,1.000,0,0,,0,0,,0,4,4,0,0,0,2,1,4,2.2,-1
45,43,2015-01-25,30-268,ATL,,MIN,W (+12),0,21:59,3,5,.600,2,2,1.000,0,2,.000,2,0,2,1,0,1,0,0,8,7.7,+10
46,44,2015-01-28,30-271,ATL,,BRK,W (+11),0,16:57,1,4,.250,0,3,.000,0,0,,1,1,2,1,2,0,0,0,2,3.3,+9
47,45,2015-01-30,30-273,ATL,,POR,W (+6),1,2:21,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-1.1,+1
48,,2015-01-31,30-274,ATL,,PHI,W (+6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2015-02-02,30-276,ATL,,NOP,L (-15),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2015-02-04,30-278,ATL,,WAS,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2015-02-06,30-280,ATL,,GSW,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2015-02-08,30-282,ATL,,MEM,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2015-02-09,30-283,ATL,,MIN,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2015-02-11,30-285,ATL,,BOS,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,,2015-02-20,30-294,ATL,,TOR,L (-25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,,2015-02-22,30-296,ATL,,MIL,W (+11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
57,,2015-02-25,30-299,ATL,,DAL,W (+17),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
58,,2015-02-27,30-301,ATL,,ORL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
59,,2015-02-28,30-302,ATL,,MIA,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
60,,2015-03-03,30-305,ATL,,HOU,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,,2015-03-06,30-308,ATL,,CLE,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
62,,2015-03-07,30-309,ATL,,PHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
63,,2015-03-09,30-311,ATL,,SAC,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
64,,2015-03-11,30-313,ATL,,DEN,L (-13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
65,,2015-03-13,30-315,ATL,,PHO,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
66,,2015-03-15,30-317,ATL,,LAL,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
67,,2015-03-16,30-318,ATL,,SAC,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
68,,2015-03-18,30-320,ATL,,GSW,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
69,,2015-03-20,30-322,ATL,,OKC,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
70,,2015-03-22,30-324,ATL,,SAS,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
71,46,2015-03-25,30-327,ATL,@,ORL,W (+12),0,7:27,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0,-1.1,-8
72,47,2015-03-27,30-329,ATL,,MIA,W (+13),0,13:03,1,5,.200,0,1,.000,0,0,,1,5,6,1,1,0,0,0,2,2.8,-4
73,48,2015-03-28,30-330,ATL,@,CHO,L (-15),0,22:54,1,7,.143,1,3,.333,0,0,,1,4,5,2,0,0,2,2,3,-1.0,+1
74,49,2015-03-30,30-332,ATL,,MIL,W (+13),0,12:53,4,6,.667,1,1,1.000,2,2,1.000,2,2,4,0,1,0,0,2,11,10.6,-3
75,50,2015-03-31,30-333,ATL,@,DET,L (-10),0,24:16,7,14,.500,2,3,.667,3,3,1.000,1,4,5,2,1,0,1,1,19,14.9,+1
76,51,2015-04-04,30-337,ATL,,BRK,W (+32),0,22:45,4,9,.444,2,4,.500,2,2,1.000,1,3,4,3,2,0,2,1,12,10.6,+6
77,52,2015-04-07,30-340,ATL,,PHO,W (+27),0,19:34,1,4,.250,0,0,,0,0,,1,4,5,1,0,0,0,1,2,1.8,+24
78,,2015-04-08,30-341,ATL,,BRK,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,,2015-04-10,30-343,ATL,,CHO,W (+24),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
80,,2015-04-12,30-345,ATL,,WAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,,2015-04-13,30-346,ATL,,NYK,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
82,,2015-04-15,30-348,ATL,,CHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
