Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
58,58,2015-02-25,26-219,LAC,@,HOU,L (-5),1,37:33,9,12,.750,0,0,,4,8,.500,4,15,19,1,0,2,3,4,22,20.4,0,jordade01
59,59,2015-02-27,26-221,LAC,@,MEM,W (+18),1,41:10,4,6,.667,0,0,,7,17,.412,6,16,22,3,2,3,1,0,15,22.6,+19,jordade01
60,60,2015-03-01,26-223,LAC,@,CHI,W (+10),1,40:30,2,3,.667,0,0,,5,12,.417,6,20,26,0,2,2,1,3,9,16.3,+19,jordade01
61,61,2015-03-02,26-224,LAC,@,MIN,W (+5),1,37:54,4,7,.571,0,1,.000,4,9,.444,5,13,18,1,1,0,4,3,12,10.6,+8,jordade01
62,62,2015-03-04,26-226,LAC,,POR,L (-5),1,45:03,2,5,.400,0,0,,2,10,.200,4,15,19,0,1,1,0,3,6,7.9,-2,jordade01
63,63,2015-03-08,26-230,LAC,@,GSW,L (-8),1,31:30,2,2,1.000,0,0,,2,4,.500,3,11,14,1,1,0,2,3,6,8.5,-17,jordade01
64,64,2015-03-09,26-231,LAC,,MIN,W (+13),1,38:54,10,11,.909,0,0,,0,3,.000,5,12,17,3,1,2,4,2,20,21.9,+22,jordade01
65,65,2015-03-11,26-233,LAC,@,OKC,W (+12),1,38:16,3,7,.429,0,0,,12,22,.545,9,8,17,1,0,0,3,5,18,14.7,+26,jordade01
66,66,2015-03-13,26-235,LAC,@,DAL,L (-30),1,36:15,7,9,.778,1,1,1.000,1,5,.200,9,9,18,1,1,0,3,1,16,18.2,-26,jordade01
67,67,2015-03-15,26-237,LAC,,HOU,L (-2),1,35:12,2,3,.667,0,0,,1,8,.125,3,17,20,1,0,4,4,5,5,5.6,-1,jordade01
68,68,2015-03-17,26-239,LAC,,CHO,W (+7),1,33:58,3,6,.500,0,0,,6,12,.500,4,10,14,3,1,1,1,4,12,13.6,+16,jordade01
69,69,2015-03-18,26-240,LAC,@,SAC,W (+11),1,35:53,3,7,.429,0,0,,0,1,.000,4,11,15,1,1,4,2,6,6,8.1,+17,jordade01
70,70,2015-03-20,26-242,LAC,,WAS,W (+14),1,42:48,5,7,.714,0,0,,0,0,,7,16,23,3,2,3,2,2,10,20.2,+17,jordade01
