Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
53,47,2015-02-06,24-105,ORL,,LAL,W (+6),1,40:44,11,21,.524,0,0,,3,5,.600,4,9,13,2,2,2,1,5,25,21.2,+5,vucevni01
54,48,2015-02-08,24-107,ORL,,CHI,L (-1),1,32:24,5,14,.357,0,0,,4,5,.800,3,4,7,1,0,0,1,1,14,8.4,-5,vucevni01
55,49,2015-02-09,24-108,ORL,@,WAS,L (-16),1,33:11,6,10,.600,0,0,,2,2,1.000,1,7,8,1,0,0,1,4,14,10.3,-14,vucevni01
56,50,2015-02-11,24-110,ORL,,NYK,W (+6),1,40:41,12,20,.600,0,0,,4,6,.667,2,16,18,0,0,0,4,3,28,19.0,+12,vucevni01
57,51,2015-02-20,24-119,ORL,,NOP,W (+11),1,36:51,9,19,.474,0,0,,0,0,,5,8,13,1,1,1,2,4,18,13.0,+11,vucevni01
58,52,2015-02-22,24-121,ORL,,PHI,W (+5),1,37:34,14,24,.583,0,0,,3,5,.600,6,8,14,0,2,1,1,2,31,26.5,+14,vucevni01
59,53,2015-02-25,24-124,ORL,,MIA,L (-3),1,40:43,10,21,.476,0,0,,6,9,.667,2,6,8,0,1,0,4,4,26,12.7,-11,vucevni01
60,54,2015-02-27,24-126,ORL,@,ATL,L (-7),1,36:49,10,16,.625,0,0,,1,2,.500,5,10,15,3,1,1,4,4,21,18.1,+1,vucevni01
61,55,2015-03-01,24-128,ORL,,CHO,L (-15),1,30:52,4,12,.333,0,0,,2,2,1.000,2,7,9,2,0,1,3,3,10,4.6,-23,vucevni01
62,56,2015-03-04,24-131,ORL,,PHO,L (-5),1,30:16,8,16,.500,0,0,,2,2,1.000,1,4,5,2,3,1,1,1,18,15.6,+3,vucevni01
65,57,2015-03-10,24-137,ORL,@,IND,L (-32),1,28:04,6,10,.600,0,0,,1,2,.500,1,4,5,2,2,0,1,1,13,11.9,+2,vucevni01
66,58,2015-03-11,24-138,ORL,@,MIL,L (-6),1,38:45,9,20,.450,0,0,,1,1,1.000,6,8,14,1,3,0,5,2,19,13.1,-6,vucevni01
67,59,2015-03-13,24-140,ORL,@,BOS,L (-7),1,37:00,7,17,.412,0,0,,2,2,1.000,3,8,11,3,2,0,0,3,16,14.3,-6,vucevni01
68,60,2015-03-15,24-142,ORL,,CLE,L (-15),1,33:07,11,21,.524,0,0,,0,1,.000,9,6,15,3,0,1,1,2,22,20.4,-3,vucevni01
69,61,2015-03-17,24-144,ORL,@,HOU,L (-13),1,32:07,5,17,.294,0,0,,1,3,.333,3,8,11,3,1,2,3,3,11,5.1,-14,vucevni01
70,62,2015-03-18,24-145,ORL,@,DAL,L (-5),1,27:24,4,9,.444,0,0,,4,4,1.000,3,6,9,1,1,1,2,3,12,10.4,-12,vucevni01
71,63,2015-03-20,24-147,ORL,,POR,W (+7),1,31:32,10,22,.455,0,1,.000,2,3,.667,4,4,8,1,1,0,1,3,22,13.7,+1,vucevni01
72,64,2015-03-22,24-149,ORL,,DEN,L (-19),1,26:48,9,14,.643,0,0,,2,2,1.000,0,8,8,0,0,1,3,3,20,12.7,-18,vucevni01
73,65,2015-03-25,24-152,ORL,,ATL,L (-12),1,38:52,8,15,.533,0,0,,0,0,,4,8,12,4,0,0,2,2,16,13.9,-10,vucevni01
74,66,2015-03-27,24-154,ORL,,DET,L (-14),1,33:10,10,18,.556,0,0,,0,0,,3,11,14,1,0,1,1,3,20,16.0,-6,vucevni01
75,67,2015-04-01,24-159,ORL,,SAS,L (-12),1,33:11,8,21,.381,0,1,.000,0,0,,3,8,11,5,0,3,1,0,16,13.6,+1,vucevni01
76,68,2015-04-03,24-161,ORL,@,MIN,W (+13),1,40:08,18,25,.720,0,0,,1,4,.250,7,10,17,2,1,0,2,2,37,33.0,+14,vucevni01
77,69,2015-04-04,24-162,ORL,@,MIL,W (+7),1,33:47,10,17,.588,0,0,,0,1,.000,2,5,7,5,0,0,3,5,20,13.1,+4,vucevni01
78,70,2015-04-08,24-166,ORL,,CHI,W (+2),1,36:34,9,16,.563,0,0,,4,4,1.000,2,5,7,3,1,0,2,4,22,16.8,-2,vucevni01
79,71,2015-04-10,24-168,ORL,,TOR,L (-2),1,36:27,7,18,.389,0,0,,2,2,1.000,3,1,4,3,1,1,1,4,16,9.8,-11,vucevni01
80,72,2015-04-11,24-169,ORL,,NYK,L (-1),1,32:42,5,14,.357,0,0,,2,2,1.000,3,10,13,1,1,1,3,3,12,7.5,+4,vucevni01
81,73,2015-04-13,24-171,ORL,@,MIA,L (-7),1,19:07,1,7,.143,0,0,,1,2,.500,2,2,4,2,0,0,0,3,3,0.3,-10,vucevni01
82,74,2015-04-15,24-173,ORL,@,BRK,L (-13),1,39:42,12,21,.571,0,1,.000,2,4,.500,1,10,11,5,1,1,2,4,26,20.6,-7,vucevni01
