<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
74,70,2015-03-29,36-283,DAL,@,IND,L (-5),1,33:42,7,13,.538,1,1,1.000,4,5,.800,0,5,5,0,0,0,2,3,19,10.6,-7
75,71,2015-04-01,36-286,DAL,@,OKC,W (+4),1,32:04,8,17,.471,2,5,.400,0,0,,0,4,4,3,0,0,1,1,18,11.2,-2
76,72,2015-04-02,36-287,DAL,,HOU,L (-7),1,31:31,7,11,.636,2,3,.667,5,6,.833,1,6,7,0,1,0,1,3,21,17.0,+2
77,73,2015-04-04,36-289,DAL,,GSW,L (-13),1,23:06,3,5,.600,0,0,,12,15,.800,0,4,4,2,0,1,2,4,18,14.2,-5
78,74,2015-04-08,36-293,DAL,,PHO,W (+3),1,30:41,7,15,.467,1,4,.250,4,5,.800,0,4,4,1,0,0,1,1,19,11.4,+12
79,75,2015-04-10,36-295,DAL,@,DEN,W (+1),1,37:34,10,19,.526,0,3,.000,5,5,1.000,0,9,9,4,1,3,2,2,25,21.5,+16
80,76,2015-04-12,36-297,DAL,@,LAL,W (+14),1,28:54,5,10,.500,2,4,.500,4,4,1.000,0,4,4,1,1,0,2,2,16,11.1,+18
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,,2015-04-13,36-298,DAL,,UTA,L (-17),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,77,2015-04-15,36-300,DAL,,POR,W (+16),1,27:21,5,14,.357,2,6,.333,4,4,1.000,0,5,5,0,1,0,2,2,16,7.9,+16
