<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,31,2014-12-30,27-057,DEN,,LAL,L (-8),1,34:10,5,11,.455,1,4,.250,5,9,.556,2,2,4,9,2,0,2,1,16,16.6,-10
33,32,2015-01-01,27-059,DEN,@,CHI,L (-5),1,39:52,8,16,.500,1,1,1.000,3,4,.750,0,7,7,7,1,0,2,3,20,16.4,-6
34,33,2015-01-03,27-061,DEN,,MEM,W (+29),1,36:52,10,14,.714,3,4,.750,2,3,.667,0,5,5,11,2,2,2,2,25,28.6,+27
35,34,2015-01-05,27-063,DEN,@,MIN,W (+9),1,31:34,4,9,.444,0,1,.000,0,1,.000,0,3,3,12,2,0,3,2,8,10.4,+12
36,35,2015-01-07,27-065,DEN,,ORL,W (+3),1,34:02,9,14,.643,3,5,.600,2,4,.500,1,2,3,5,1,0,5,3,23,15.6,+3
37,36,2015-01-09,27-067,DEN,@,SAC,W (+10),1,36:08,7,13,.538,1,3,.333,7,10,.700,0,3,3,8,0,1,1,1,22,20.3,+17
38,37,2015-01-14,27-072,DEN,,DAL,W (+7),1,44:23,10,18,.556,0,3,.000,9,13,.692,1,4,5,12,0,0,3,1,29,25.7,+12
39,38,2015-01-16,27-074,DEN,@,DAL,L (-8),1,39:11,3,13,.231,1,3,.333,4,9,.444,1,5,6,12,0,0,0,3,11,10.5,-5
40,39,2015-01-17,27-075,DEN,,MIN,L (-8),1,34:25,7,15,.467,2,5,.400,6,7,.857,2,1,3,7,2,0,1,1,22,21.1,-9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,40,2015-01-19,27-077,DEN,@,GSW,L (-43),1,32:02,8,14,.571,1,2,.500,2,6,.333,0,1,1,6,0,0,1,1,19,13.9,-18
42,41,2015-01-20,27-078,DEN,,SAS,L (-10),1,33:30,2,6,.333,0,1,.000,0,0,,0,2,2,8,2,0,1,2,4,7.0,-5
43,,2015-01-23,27-081,DEN,,BOS,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
44,42,2015-01-25,27-083,DEN,,WAS,L (-2),1,42:18,10,20,.500,3,5,.600,8,8,1.000,2,1,3,12,3,0,2,1,31,31.7,+2
45,43,2015-01-26,27-084,DEN,@,LAC,L (-4),1,34:35,7,12,.583,0,0,,5,6,.833,0,3,3,11,0,0,3,1,19,18.2,+5
46,44,2015-01-28,27-086,DEN,@,NOP,W (+8),1,32:05,2,12,.167,1,2,.500,0,0,,1,0,1,13,1,0,1,2,5,6.4,+8
47,45,2015-01-29,27-087,DEN,@,MEM,L (-30),1,25:03,3,11,.273,0,3,.000,3,3,1.000,0,2,2,6,1,1,1,0,9,8.0,-17
48,46,2015-01-31,27-089,DEN,,CHO,L (-18),1,31:59,3,8,.375,1,2,.500,3,5,.600,1,4,5,9,0,0,2,2,10,10.2,-21
49,47,2015-02-03,27-092,DEN,@,PHI,L (-7),1,34:22,1,4,.250,0,0,,3,4,.750,1,5,6,14,2,0,1,3,5,14.0,-1
50,48,2015-02-04,27-093,DEN,@,BOS,L (-4),1,43:29,9,15,.600,1,3,.333,4,4,1.000,1,1,2,8,2,0,4,0,23,20.7,+3
51,49,2015-02-06,27-095,DEN,@,DET,L (-10),1,39:02,6,12,.500,1,2,.500,7,8,.875,0,3,3,9,0,0,4,4,20,15.2,-12
52,50,2015-02-09,27-098,DEN,,OKC,L (-10),1,38:01,8,12,.667,5,7,.714,1,2,.500,0,1,1,9,1,0,2,3,22,20.8,-6
53,51,2015-02-10,27-099,DEN,@,LAL,W (+10),1,44:52,12,20,.600,1,3,.333,7,8,.875,0,3,3,16,2,0,2,3,32,33.3,+6
54,,2015-02-20,27-109,DEN,,MIL,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
55,52,2015-02-22,27-111,DEN,@,OKC,L (-25),1,23:54,6,12,.500,0,2,.000,5,5,1.000,1,0,1,4,3,0,1,1,17,16.1,-27
56,53,2015-02-23,27-112,DEN,,BRK,L (-28),1,31:53,3,7,.429,0,2,.000,0,2,.000,0,5,5,10,1,0,4,2,6,6.2,-22
57,54,2015-02-25,27-114,DEN,,PHO,L (-14),1,38:22,5,12,.417,2,5,.400,1,2,.500,1,3,4,7,3,0,1,4,13,13.1,-10
58,55,2015-02-27,27-116,DEN,,UTA,L (-22),1,31:49,2,6,.333,2,2,1.000,2,4,.500,0,2,2,6,0,0,1,1,8,7.2,-12
59,56,2015-03-01,27-118,DEN,,NOP,L (-7),1,27:26,2,6,.333,0,2,.000,1,2,.500,0,1,1,11,2,0,3,3,5,7.0,-10
60,57,2015-03-03,27-120,DEN,,MIL,W (+11),1,30:47,6,12,.500,2,5,.400,2,2,1.000,1,1,2,10,2,0,1,3,16,17.8,+19
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,58,2015-03-04,27-121,DEN,@,MIN,W (+15),1,24:55,0,9,.000,0,1,.000,0,0,,3,4,7,9,1,0,1,3,0,2.1,-4
62,59,2015-03-06,27-123,DEN,@,SAS,L (-9),1,32:40,7,13,.538,1,2,.500,8,8,1.000,0,1,1,9,0,0,2,3,23,20.1,-12
63,60,2015-03-07,27-124,DEN,,HOU,L (-14),1,35:35,5,14,.357,1,5,.200,2,4,.500,1,7,8,10,1,0,1,2,13,13.4,+7
64,61,2015-03-09,27-126,DEN,,NYK,W (+28),1,24:31,3,6,.500,1,1,1.000,7,9,.778,0,1,1,6,0,0,0,1,14,14.3,+29
65,62,2015-03-11,27-128,DEN,,ATL,W (+13),1,27:02,1,6,.167,0,1,.000,3,3,1.000,0,4,4,9,1,0,2,1,5,7.3,+15
66,,2015-03-13,27-130,DEN,,GSW,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,63,2015-03-15,27-132,DEN,@,NOP,W (+7),1,47:31,9,18,.500,1,5,.200,0,0,,3,2,5,9,3,0,1,0,19,21.0,-1
68,,2015-03-16,27-133,DEN,,MEM,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,64,2015-03-19,27-136,DEN,@,HOU,L (-10),1,38:52,5,12,.417,2,6,.333,0,0,,0,2,2,10,0,0,6,2,12,6.4,-12
70,65,2015-03-20,27-137,DEN,@,MIA,L (-17),1,38:02,5,12,.417,0,2,.000,0,4,.000,2,3,5,12,1,1,2,1,10,12.0,-3
71,66,2015-03-22,27-139,DEN,@,ORL,W (+19),1,26:50,0,2,.000,0,0,,0,0,,1,2,3,8,0,0,1,1,0,4.1,+14
72,67,2015-03-25,27-142,DEN,,PHI,L (-14),1,32:57,6,16,.375,2,3,.667,5,6,.833,0,4,4,6,2,1,2,1,19,15.5,0
73,68,2015-03-27,27-144,DEN,,UTA,W (+16),1,31:19,7,12,.583,0,0,,4,5,.800,0,4,4,9,3,1,4,1,18,18.8,+13
74,69,2015-03-28,27-145,DEN,@,POR,L (-6),1,34:34,3,11,.273,0,0,,7,8,.875,0,1,1,7,1,0,3,0,13,9.3,+1
75,70,2015-04-01,27-149,DEN,@,UTA,L (-14),1,30:11,6,13,.462,1,2,.500,2,3,.667,0,2,2,3,1,0,1,1,15,10.2,-8
76,71,2015-04-03,27-151,DEN,@,SAS,L (-30),1,24:20,3,10,.300,0,1,.000,1,2,.500,0,1,1,7,0,1,3,0,7,3.7,-24
77,,2015-04-04,27-152,DEN,,LAC,L (-15),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,72,2015-04-08,27-156,DEN,,LAL,W (+18),1,39:13,7,13,.538,0,2,.000,2,3,.667,1,2,3,8,1,0,2,3,16,14.0,+25
79,73,2015-04-10,27-158,DEN,,DAL,L (-1),1,52:13,8,21,.381,1,3,.333,2,2,1.000,0,5,5,18,0,0,2,0,19,19.6,+5
80,74,2015-04-12,27-160,DEN,,SAC,W (+11),1,36:34,4,7,.571,0,1,.000,2,4,.500,0,0,0,11,1,0,2,1,10,12.2,+24
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,,2015-04-13,27-161,DEN,,LAC,L (-7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
82,75,2015-04-15,27-163,DEN,@,GSW,L (-7),1,17:36,1,5,.200,0,2,.000,2,2,1.000,0,0,0,8,0,0,4,0,4,2.5,-11
