<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,38,2015-01-09,23-297,IND,,BOS,W (+4),1,25:28,2,7,.286,0,2,.000,0,0,,0,5,5,1,1,2,0,1,4,4.1,-19
39,39,2015-01-10,23-298,IND,@,PHI,L (-1),1,36:04,2,11,.182,0,3,.000,8,9,.889,2,4,6,2,2,0,3,0,12,7.7,+6
40,40,2015-01-13,23-301,IND,,MIN,L (-9),1,23:26,1,4,.250,0,0,,0,0,,0,5,5,2,0,0,3,4,2,-2.1,+4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-16,23-304,IND,,DET,L (-2),1,30:00,3,7,.429,2,4,.500,2,2,1.000,1,2,3,3,1,0,2,2,10,7.9,-12
42,42,2015-01-17,23-305,IND,@,CHO,L (-9),1,31:44,0,1,.000,0,0,,0,0,,0,4,4,2,0,0,1,3,0,-0.3,-6
43,43,2015-01-19,23-307,IND,@,HOU,L (-12),1,32:53,4,10,.400,1,6,.167,4,4,1.000,0,3,3,3,2,0,3,4,13,8.0,-21
44,44,2015-01-21,23-309,IND,@,ATL,L (-19),1,26:56,3,9,.333,1,4,.250,0,0,,0,2,2,2,0,0,2,2,7,1.1,-20
45,45,2015-01-23,23-311,IND,@,MIA,L (-2),1,25:38,2,9,.222,0,3,.000,0,1,.000,0,2,2,2,1,1,2,0,4,-0.2,-8
46,46,2015-01-25,23-313,IND,@,ORL,W (+7),1,30:28,1,4,.250,0,1,.000,0,0,,0,3,3,3,1,0,2,2,2,0.8,-7
47,47,2015-01-27,23-315,IND,,TOR,L (-13),1,35:50,5,9,.556,3,4,.750,2,2,1.000,0,3,3,1,2,0,0,4,15,12.7,-12
48,48,2015-01-29,23-317,IND,,NYK,W (+21),1,32:59,4,9,.444,2,3,.667,0,0,,0,2,2,4,0,0,0,2,10,7.9,+12
49,49,2015-01-31,23-319,IND,,SAC,L (-5),1,25:38,0,3,.000,0,3,.000,0,0,,0,2,2,1,1,0,1,2,0,-1.6,-14
50,50,2015-02-04,23-323,IND,,DET,W (+5),0,21:20,2,5,.400,1,3,.333,0,0,,0,4,4,3,0,0,0,2,5,4.8,-6
51,51,2015-02-06,23-325,IND,,CLE,W (+4),1,36:18,5,8,.625,0,1,.000,1,1,1.000,1,3,4,3,1,0,0,1,11,11.7,-2
52,52,2015-02-08,23-327,IND,@,CHO,W (+1),0,24:02,3,8,.375,0,1,.000,3,3,1.000,0,4,4,3,0,0,0,2,9,7.1,-5
53,53,2015-02-09,23-328,IND,,SAS,L (-2),0,17:42,3,5,.600,2,3,.667,2,2,1.000,0,1,1,1,1,0,0,2,10,8.9,+3
54,54,2015-02-11,23-330,IND,@,NOP,W (+13),1,27:05,4,5,.800,2,3,.667,2,2,1.000,1,2,3,3,1,0,1,3,12,12.3,+12
55,55,2015-02-20,23-339,IND,@,PHI,W (+11),1,21:10,2,4,.500,1,2,.500,0,0,,1,2,3,2,2,0,1,1,5,6.3,-5
56,56,2015-02-22,23-341,IND,,GSW,W (+6),1,18:24,2,6,.333,0,3,.000,2,2,1.000,0,1,1,1,0,0,0,3,6,2.4,-3
57,57,2015-02-24,23-343,IND,@,OKC,L (-13),1,24:16,4,8,.500,2,3,.667,1,2,.500,0,3,3,3,0,0,0,1,11,9.2,+5
58,58,2015-02-27,23-346,IND,,CLE,W (+7),1,17:49,2,3,.667,0,0,,4,4,1.000,0,2,2,1,0,1,0,0,8,8.7,-4
59,59,2015-03-01,23-348,IND,,PHI,W (+20),1,19:55,2,7,.286,0,2,.000,0,0,,0,2,2,0,0,0,2,3,4,-2.7,-1
60,60,2015-03-04,23-351,IND,,NYK,W (+23),1,32:03,1,3,.333,0,1,.000,0,0,,0,7,7,5,1,1,2,2,2,4.8,+21
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,61,2015-03-06,23-353,IND,,CHI,W (+14),1,26:02,5,10,.500,2,5,.400,4,4,1.000,1,4,5,0,3,1,0,1,16,16.2,+2
62,62,2015-03-07,23-354,IND,@,NYK,W (+6),1,29:07,3,7,.429,0,0,,3,4,.750,2,2,4,3,0,0,0,2,9,8.2,+11
63,63,2015-03-10,23-357,IND,,ORL,W (+32),1,27:38,4,11,.364,1,4,.250,0,0,,0,2,2,6,0,0,3,3,9,3.5,+10
64,64,2015-03-12,23-359,IND,,MIL,W (+6),1,25:29,2,4,.500,0,1,.000,5,6,.833,0,2,2,1,1,0,2,3,9,5.7,-8
65,65,2015-03-14,23-361,IND,,BOS,L (-4),1,24:46,0,5,.000,0,1,.000,0,0,,0,3,3,1,0,0,0,1,0,-2.3,+2
66,66,2015-03-16,23-363,IND,,TOR,L (-19),1,35:10,4,8,.500,0,2,.000,3,4,.750,0,4,4,4,2,1,1,5,11,10.3,-9
67,67,2015-03-18,24-000,IND,@,CHI,L (-17),1,25:32,5,10,.500,1,2,.500,2,2,1.000,1,5,6,3,1,0,1,2,13,11.5,-1
68,68,2015-03-20,24-002,IND,@,CLE,L (-3),1,29:32,1,6,.167,0,1,.000,0,0,,1,4,5,5,0,0,0,1,2,3.2,-6
69,69,2015-03-21,24-003,IND,,BRK,L (-12),1,35:09,7,16,.438,2,4,.500,1,2,.500,2,4,6,2,0,1,0,2,17,12.1,+4
70,70,2015-03-23,24-005,IND,,HOU,L (-10),1,25:11,2,6,.333,1,2,.500,0,0,,1,0,1,2,0,0,5,3,5,-2.5,-4
71,71,2015-03-25,24-007,IND,@,WAS,W (+2),1,31:38,3,8,.375,2,3,.667,5,6,.833,0,6,6,3,0,0,2,2,13,9.3,+8
72,72,2015-03-26,24-008,IND,@,MIL,L (-4),1,22:52,2,7,.286,1,2,.500,0,0,,2,4,6,2,0,0,4,4,5,-0.7,-4
73,73,2015-03-29,24-011,IND,,DAL,W (+5),1,14:17,1,2,.500,0,0,,0,0,,0,1,1,6,0,0,2,4,2,1.9,+3
74,74,2015-03-31,24-013,IND,@,BRK,L (-5),1,33:40,3,7,.429,3,5,.600,0,0,,0,2,2,3,0,0,1,3,9,5.8,+9
75,75,2015-04-01,24-014,IND,@,BOS,L (-13),1,25:43,2,7,.286,0,2,.000,3,3,1.000,0,3,3,1,0,0,1,0,7,3.5,-3
76,76,2015-04-03,24-016,IND,,CHO,W (+19),1,26:43,2,7,.286,1,3,.333,0,0,,1,2,3,0,3,0,3,5,5,0.2,-7
77,77,2015-04-05,24-018,IND,,MIA,W (+23),1,25:37,6,10,.600,3,5,.600,4,4,1.000,2,4,6,1,0,0,0,0,19,17.7,+13
78,78,2015-04-08,24-021,IND,@,NYK,W (+16),1,28:59,3,6,.500,0,2,.000,2,2,1.000,0,1,1,2,0,1,1,3,8,5.2,+10
79,79,2015-04-10,24-023,IND,@,DET,W (+4),1,22:42,1,4,.250,0,1,.000,0,0,,0,0,0,1,1,0,2,0,2,-0.7,-7
80,80,2015-04-12,24-025,IND,,OKC,W (+12),1,16:00,2,3,.667,0,1,.000,2,2,1.000,1,2,3,0,0,0,1,1,6,4.6,+4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,81,2015-04-14,24-027,IND,,WAS,W (+4),1,22:26,3,6,.500,1,1,1.000,0,1,.000,1,1,2,1,0,0,0,1,7,4.9,-1
82,82,2015-04-15,24-028,IND,@,MEM,L (-12),1,21:26,0,3,.000,0,0,,0,0,,2,1,3,1,0,0,0,1,0,-0.1,+10
