<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,32,2015-01-02,32-078,BRK,@,ORL,W (+2),0,23:51,2,5,.400,1,3,.333,0,0,,0,2,2,1,1,0,1,4,5,2.0,+1
33,33,2015-01-04,32-080,BRK,@,MIA,L (-4),0,23:32,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,1,5,0,-3.1,+11
34,34,2015-01-05,32-081,BRK,,DAL,L (-8),0,37:33,1,6,.167,1,5,.200,2,2,1.000,0,6,6,1,1,0,0,2,5,3.9,-10
35,35,2015-01-07,32-083,BRK,,BOS,L (-8),0,24:58,1,5,.200,0,1,.000,2,2,1.000,1,3,4,0,0,0,1,4,4,-0.1,+1
36,36,2015-01-09,32-085,BRK,,PHI,L (-2),0,35:38,3,7,.429,0,3,.000,1,2,.500,1,2,3,2,1,0,0,2,7,5.8,-15
37,37,2015-01-10,32-086,BRK,@,DET,L (-5),0,23:23,5,7,.714,1,2,.500,2,2,1.000,0,4,4,0,1,0,0,1,13,11.9,+3
38,38,2015-01-12,32-088,BRK,,HOU,L (-14),0,16:28,2,4,.500,1,2,.500,0,0,,0,2,2,2,1,0,1,2,5,4.2,-7
39,39,2015-01-14,32-090,BRK,,MEM,L (-11),0,26:33,2,8,.250,2,6,.333,2,2,1.000,0,1,1,2,0,0,2,1,8,2.5,+4
40,40,2015-01-16,32-092,BRK,@,WAS,W (+22),0,23:58,2,6,.333,1,4,.250,0,0,,0,0,0,2,2,0,2,0,5,3.0,+9
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,41,2015-01-17,32-093,BRK,,WAS,L (-9),0,29:51,2,4,.500,1,2,.500,1,3,.333,0,3,3,0,0,0,0,2,6,3.3,-14
