<!-- ALREADYCSV -->
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11&nbsp;★,21,LAC,NBA,PF,82,82,3112,696,1376,.506,7,24,.292,689,1352,.510,.508,446,695,.642,270,719,989,312,63,45,223,252,1845
2011-12&nbsp;★,22,LAC,NBA,PF,66,66,2392,561,1022,.549,2,16,.125,559,1006,.556,.550,244,468,.521,218,499,717,210,54,48,150,216,1368
2012-13&nbsp;★,23,LAC,NBA,PF,80,80,2598,577,1072,.538,5,28,.179,572,1044,.548,.541,281,426,.660,186,476,662,299,97,50,185,231,1440
2013-14&nbsp;★,24,LAC,NBA,PF,80,80,2863,718,1359,.528,12,44,.273,706,1315,.537,.533,482,674,.715,192,565,757,309,92,51,224,265,1930
2014-15&nbsp;★,25,LAC,NBA,PF,67,67,2356,574,1144,.502,10,25,.400,564,1119,.504,.506,311,427,.728,126,382,508,354,63,35,152,196,1469
2015-16,26,LAC,NBA,PF,6,6,211,70,117,.598,0,3,.000,70,114,.614,.598,36,46,.783,11,47,58,25,3,3,11,18,176
Career,,,NBA,,381,381,13532,3196,6090,.525,36,140,.257,3160,5950,.531,.528,1800,2736,.658,1003,2688,3691,1509,372,232,945,1178,8228
