Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
38,37,2015-01-11,32-258,POR,@,LAL,W (+12),1,32:01,4,10,.400,0,0,,1,1,1.000,3,9,12,3,2,0,0,2,9,11.7,+13,kamanch01
39,38,2015-01-14,32-261,POR,,LAC,L (-6),1,26:35,7,11,.636,0,0,,1,1,1.000,3,8,11,1,1,0,3,4,15,11.7,-14,kamanch01
40,39,2015-01-16,32-263,POR,@,SAS,L (-14),1,24:26,2,5,.400,0,0,,2,2,1.000,2,3,5,2,0,2,1,3,6,6.2,-19,kamanch01
41,40,2015-01-17,32-264,POR,@,MEM,L (-4),1,30:16,2,9,.222,0,0,,0,0,,7,4,11,0,1,1,0,4,4,4.7,-2,kamanch01
42,41,2015-01-19,32-266,POR,,SAC,W (+4),1,19:01,2,7,.286,0,0,,0,0,,1,3,4,1,0,1,1,3,4,0.7,-7,kamanch01
43,42,2015-01-21,32-268,POR,@,PHO,L (-5),1,21:08,7,9,.778,0,0,,0,2,.000,3,3,6,0,0,1,2,0,14,11.4,-9,kamanch01
44,43,2015-01-22,32-269,POR,,BOS,L (-1),1,28:38,6,11,.545,0,0,,1,2,.500,3,6,9,1,0,0,2,1,13,9.5,+4,kamanch01
45,44,2015-01-24,32-271,POR,,WAS,W (+7),1,25:10,3,9,.333,0,0,,0,0,,2,8,10,0,1,0,2,0,6,3.7,+1,kamanch01
46,45,2015-01-28,32-275,POR,@,CLE,L (-5),1,28:13,3,5,.600,0,0,,1,2,.500,2,11,13,1,0,1,0,3,7,9.2,-1,kamanch01
47,46,2015-01-30,32-277,POR,@,ATL,L (-6),1,25:00,4,8,.500,0,0,,0,0,,4,4,8,0,1,0,2,1,8,6.6,-10,kamanch01
48,47,2015-01-31,32-278,POR,@,MIL,L (-7),0,10:05,1,3,.333,0,0,,1,2,.500,0,2,2,0,0,0,0,1,3,1.1,-8,kamanch01
49,48,2015-02-03,32-281,POR,,UTA,W (+1),0,21:24,0,3,.000,0,0,,0,0,,1,4,5,2,0,1,0,2,0,1.1,-12,kamanch01
51,49,2015-02-07,32-285,POR,@,DAL,L (-10),0,15:32,2,6,.333,0,0,,0,0,,2,3,5,0,0,1,2,1,4,1.2,+5,kamanch01
52,50,2015-02-08,32-286,POR,@,HOU,W (+11),0,13:31,2,2,1.000,0,0,,0,0,,1,2,3,1,0,1,1,2,4,4.3,-2,kamanch01
54,51,2015-02-20,32-298,POR,@,UTA,L (-16),0,16:22,3,5,.600,0,0,,0,0,,0,2,2,0,0,2,1,3,6,3.5,-21,kamanch01
55,52,2015-02-22,32-300,POR,,MEM,L (-6),0,24:13,2,7,.286,0,0,,2,2,1.000,1,8,9,3,0,1,1,3,6,5.6,+21,kamanch01
56,53,2015-02-25,32-303,POR,,SAS,W (+16),0,17:40,4,5,.800,0,0,,3,3,1.000,3,3,6,0,0,0,1,3,11,9.9,+4,kamanch01
57,54,2015-02-27,32-305,POR,,OKC,W (+3),0,13:52,4,6,.667,0,0,,0,0,,2,5,7,0,0,0,0,0,8,8.3,-6,kamanch01
58,55,2015-03-01,32-307,POR,@,SAC,W (+11),0,18:01,3,5,.600,0,0,,0,0,,0,3,3,1,0,0,0,1,6,4.9,-11,kamanch01
59,56,2015-03-04,32-310,POR,@,LAC,W (+5),0,16:00,4,6,.667,0,0,,0,0,,1,6,7,0,0,0,2,1,8,5.5,-3,kamanch01
60,57,2015-03-05,32-311,POR,,DAL,W (+19),0,16:25,2,7,.286,0,0,,2,2,1.000,1,6,7,1,1,0,3,1,6,2.7,+4,kamanch01
61,58,2015-03-07,32-313,POR,@,MIN,L (-8),0,18:35,3,5,.600,0,0,,2,2,1.000,3,3,6,1,1,0,4,1,8,6.0,+2,kamanch01
62,59,2015-03-11,32-317,POR,,HOU,W (+5),0,16:33,3,6,.500,0,0,,0,0,,4,6,10,0,0,0,2,1,6,5.2,+4,kamanch01
63,60,2015-03-13,32-319,POR,,DET,W (+19),0,18:12,7,10,.700,0,0,,0,1,.000,2,4,6,1,0,0,1,1,14,11.3,+10,kamanch01
64,61,2015-03-15,32-321,POR,@,TOR,W (+16),0,17:16,3,4,.750,0,0,,0,0,,2,1,3,2,0,2,0,2,6,8.1,-6,kamanch01
65,62,2015-03-16,32-322,POR,@,WAS,L (-8),0,12:51,5,8,.625,0,0,,2,2,1.000,2,2,4,0,0,0,1,1,12,9.0,-6,kamanch01
66,63,2015-03-18,32-324,POR,@,MIA,L (-4),0,17:54,4,5,.800,0,0,,1,2,.500,6,7,13,2,0,0,1,0,9,13.4,-2,kamanch01
67,64,2015-03-20,32-326,POR,@,ORL,L (-7),0,9:03,4,4,1.000,0,0,,0,1,.000,2,2,4,0,0,0,1,1,8,7.0,-7,kamanch01
71,65,2015-03-27,32-333,POR,@,PHO,W (+6),0,18:12,2,8,.250,0,0,,0,0,,3,8,11,0,1,0,1,3,4,2.5,-3,kamanch01
72,66,2015-03-28,32-334,POR,,DEN,W (+6),0,17:11,7,12,.583,0,0,,0,0,,4,5,9,2,0,2,3,2,14,11.7,+3,kamanch01
73,67,2015-03-30,32-336,POR,,PHO,W (+23),0,16:25,6,7,.857,0,0,,0,0,,1,6,7,0,0,1,1,0,12,11.7,+17,kamanch01
74,68,2015-04-01,32-338,POR,,LAC,L (-4),0,18:33,3,6,.500,0,0,,2,2,1.000,2,5,7,1,0,0,1,1,8,7.2,+9,kamanch01
75,69,2015-04-03,32-340,POR,@,LAL,W (+30),0,16:19,1,3,.333,0,0,,0,0,,0,4,4,0,0,0,0,0,2,1.5,-5,kamanch01
76,70,2015-04-04,32-341,POR,,NOP,W (+9),0,21:26,7,10,.700,0,0,,2,2,1.000,6,5,11,1,2,0,0,0,16,20.2,+29,kamanch01
77,71,2015-04-08,32-345,POR,,MIN,W (+25),0,16:16,3,4,.750,0,0,,0,0,,3,4,7,1,1,1,2,2,6,7.3,+12,kamanch01
78,72,2015-04-09,32-346,POR,@,GSW,L (-11),0,9:42,2,6,.333,0,0,,0,1,.000,1,1,2,1,0,0,1,0,4,0.9,-9,kamanch01
79,73,2015-04-11,32-348,POR,,UTA,L (-6),0,4:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,-12,kamanch01
