Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
27,27,2014-12-19,28-066,POR,@,SAS,W (+10),1,49:50,5,19,.263,2,9,.222,4,4,1.000,3,4,7,5,3,0,0,2,16,13.7,+8,matthwe02
28,28,2014-12-20,28-067,POR,@,NOP,W (+26),1,22:01,3,8,.375,3,8,.375,0,0,,0,2,2,0,1,0,3,0,9,3.2,+24,matthwe02
29,29,2014-12-22,28-069,POR,@,HOU,L (-15),1,25:40,5,10,.500,3,5,.600,1,1,1.000,1,2,3,2,0,0,0,4,14,10.1,-13,matthwe02
30,30,2014-12-23,28-070,POR,@,OKC,W (+4),1,42:24,8,15,.533,5,8,.625,1,1,1.000,0,2,2,2,1,0,1,2,22,15.9,+12,matthwe02
31,31,2014-12-26,28-073,POR,,PHI,W (+21),1,27:37,9,18,.500,7,14,.500,0,0,,0,1,1,2,1,0,1,0,25,17.7,+19,matthwe02
32,32,2014-12-28,28-075,POR,,NYK,W (+22),1,32:04,10,21,.476,6,15,.400,2,2,1.000,0,4,4,5,0,1,0,2,28,21.9,+20,matthwe02
33,33,2014-12-30,28-077,POR,,TOR,W (+5),1,42:20,7,14,.500,5,10,.500,0,0,,2,4,6,3,0,0,3,3,19,12.5,+3,matthwe02
34,34,2015-01-03,28-081,POR,,ATL,L (-8),1,33:34,5,14,.357,4,10,.400,5,5,1.000,1,0,1,3,1,0,0,2,19,14.2,+9,matthwe02
35,35,2015-01-05,28-083,POR,,LAL,W (+4),1,30:22,1,9,.111,1,6,.167,2,2,1.000,0,1,1,1,2,0,2,0,5,0.1,+4,matthwe02
36,36,2015-01-08,28-086,POR,,MIA,W (+16),1,29:44,6,10,.600,3,5,.600,3,4,.750,0,2,2,5,1,1,1,1,18,17.4,+22,matthwe02
37,37,2015-01-10,28-088,POR,,ORL,W (+11),1,34:01,6,9,.667,4,6,.667,2,3,.667,0,8,8,3,4,0,2,1,18,19.8,+13,matthwe02
38,38,2015-01-11,28-089,POR,@,LAL,W (+12),1,34:40,6,11,.545,3,7,.429,1,2,.500,0,0,0,5,2,0,3,3,16,11.6,+5,matthwe02
39,39,2015-01-14,28-092,POR,,LAC,L (-6),1,34:41,3,13,.231,2,8,.250,0,0,,2,3,5,0,1,0,0,5,8,1.4,-13,matthwe02
40,40,2015-01-16,28-094,POR,@,SAS,L (-14),1,28:41,1,4,.250,0,3,.000,0,0,,0,1,1,2,1,0,2,2,2,-0.5,-13,matthwe02
41,41,2015-01-17,28-095,POR,@,MEM,L (-4),1,39:05,9,18,.500,7,14,.500,0,0,,0,4,4,1,0,0,0,2,25,17.1,-1,matthwe02
42,42,2015-01-19,28-097,POR,,SAC,W (+4),1,37:29,7,20,.350,2,12,.167,1,2,.500,0,3,3,1,3,0,1,2,17,8.2,+4,matthwe02
43,43,2015-01-21,28-099,POR,@,PHO,L (-5),1,36:03,8,17,.471,2,5,.400,4,4,1.000,0,6,6,2,2,0,2,4,22,14.9,+3,matthwe02
44,44,2015-01-22,28-100,POR,,BOS,L (-1),1,37:01,6,15,.400,4,8,.500,2,3,.667,0,3,3,0,2,1,1,1,18,11.7,+2,matthwe02
45,45,2015-01-24,28-102,POR,,WAS,W (+7),1,35:12,7,19,.368,5,11,.455,0,0,,0,3,3,3,1,0,0,2,19,11.7,+7,matthwe02
46,46,2015-01-28,28-106,POR,@,CLE,L (-5),1,33:29,4,10,.400,3,8,.375,0,1,.000,1,1,2,2,1,0,2,3,11,5.4,-9,matthwe02
47,47,2015-01-30,28-108,POR,@,ATL,L (-6),1,38:01,4,13,.308,3,9,.333,5,6,.833,0,1,1,3,0,0,2,3,16,7.3,-6,matthwe02
48,48,2015-01-31,28-109,POR,@,MIL,L (-7),1,34:17,7,15,.467,4,7,.571,1,3,.333,1,3,4,3,2,1,2,3,19,13.7,-1,matthwe02
49,49,2015-02-03,28-112,POR,,UTA,W (+1),1,34:34,6,10,.600,3,5,.600,6,7,.857,1,2,3,2,3,0,3,2,21,17.9,-13,matthwe02
50,50,2015-02-05,28-114,POR,,PHO,W (+21),1,31:40,5,15,.333,2,8,.250,2,2,1.000,0,8,8,3,0,0,1,1,14,8.6,+12,matthwe02
51,51,2015-02-07,28-116,POR,@,DAL,L (-10),1,39:46,7,14,.500,3,8,.375,0,2,.000,3,5,8,3,4,0,1,3,17,16.7,-15,matthwe02
52,52,2015-02-08,28-117,POR,@,HOU,W (+11),1,33:24,2,9,.222,2,6,.333,0,0,,0,3,3,2,2,0,0,2,6,4.0,+7,matthwe02
53,53,2015-02-11,28-120,POR,,LAL,W (+16),1,28:59,7,14,.500,3,7,.429,3,3,1.000,2,3,5,3,2,0,1,3,20,17.2,+9,matthwe02
54,54,2015-02-20,28-129,POR,@,UTA,L (-16),1,31:53,4,9,.444,1,5,.200,4,4,1.000,0,7,7,2,1,0,0,0,13,12.8,-9,matthwe02
55,55,2015-02-22,28-131,POR,,MEM,L (-6),1,35:38,0,7,.000,0,4,.000,4,4,1.000,0,2,2,3,1,0,2,2,4,0.0,-9,matthwe02
56,56,2015-02-25,28-134,POR,,SAS,W (+16),1,33:38,11,18,.611,4,10,.400,5,7,.714,2,3,5,3,3,0,0,2,31,28.6,+23,matthwe02
57,57,2015-02-27,28-136,POR,,OKC,W (+3),1,32:53,2,13,.154,2,6,.333,2,2,1.000,1,5,6,3,3,1,1,1,8,6.3,+3,matthwe02
58,58,2015-03-01,28-138,POR,@,SAC,W (+11),1,32:53,6,8,.750,3,5,.600,2,2,1.000,0,4,4,1,1,1,0,3,17,16.2,+4,matthwe02
59,59,2015-03-04,28-141,POR,@,LAC,W (+5),1,38:32,3,9,.333,2,8,.250,4,6,.667,0,8,8,2,2,0,2,5,12,7.9,+8,matthwe02
60,60,2015-03-05,28-142,POR,,DAL,W (+19),1,17:49,1,5,.200,0,3,.000,2,2,1.000,0,1,1,3,2,0,2,0,4,3.3,+11,matthwe02
1,1,2014-10-29,31-253,CHO,,MIL,W (+2),0,12:31,2,5,.400,0,0,,0,0,,1,1,2,0,0,1,0,2,4,2.2,-3,maxieja01
