Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
12,1,2014-11-21,19-061,TOR,,MIL,W (+42),0,12:00,3,6,.500,2,3,.667,0,0,,0,1,1,0,0,1,1,1,8,4.6,-2,cabocbr01
26,2,2014-12-17,19-087,TOR,,BRK,W (+16),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,cabocbr01
28,3,2014-12-21,19-091,TOR,,NYK,W (+10),0,1:47,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-1.4,-4,cabocbr01
50,4,2015-02-04,19-136,TOR,,BRK,L (-16),0,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+1,cabocbr01
70,5,2015-03-22,19-182,TOR,,NYK,W (+17),0,1:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2,cabocbr01
73,6,2015-03-27,19-187,TOR,,LAL,W (+11),0,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-2.4,-4,cabocbr01
75,7,2015-04-01,19-192,TOR,@,MIN,W (+14),0,3:33,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-12,cabocbr01
78,8,2015-04-08,19-199,TOR,@,CHO,W (+18),0,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-4,cabocbr01
1,1,2014-11-23,25-289,MEM,,LAC,W (+16),0,8:06,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,0.0,-7,calatni01
4,2,2014-11-30,25-296,MEM,@,SAC,W (+12),0,1:14,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-0.3,0,calatni01
5,3,2014-12-03,25-299,MEM,@,HOU,L (-9),0,20:22,3,5,.600,0,0,,0,3,.000,0,1,1,6,1,0,2,2,6,5.2,+13,calatni01
7,4,2014-12-07,25-303,MEM,,MIA,W (+16),0,1:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+2,calatni01
8,5,2014-12-09,25-305,MEM,,DAL,W (+9),0,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3,calatni01
10,6,2014-12-13,25-309,MEM,@,PHI,W (+5),0,10:57,0,2,.000,0,0,,1,2,.500,2,0,2,6,1,0,0,2,1,5.0,+3,calatni01
12,7,2014-12-17,25-313,MEM,@,SAS,W (+1),0,8:59,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,2,3,2,-2.9,-10,calatni01
13,8,2014-12-19,25-315,MEM,,CHI,L (-6),0,6:53,1,3,.333,0,1,.000,1,1,1.000,0,0,0,1,0,0,0,3,3,0.8,+2,calatni01
14,9,2014-12-21,25-317,MEM,@,CLE,L (-14),0,14:29,2,2,1.000,0,0,,0,0,,0,1,1,4,1,0,1,3,4,5.3,+5,calatni01
20,10,2015-01-03,25-330,MEM,@,DEN,L (-29),0,22:32,2,9,.222,0,1,.000,0,0,,0,2,2,5,0,1,1,2,4,1.5,-16,calatni01
21,11,2015-01-05,25-332,MEM,,NYK,W (+22),0,5:30,2,2,1.000,0,0,,0,0,,2,0,2,0,0,1,0,2,4,4.7,-1,calatni01
22,12,2015-01-07,25-334,MEM,@,ATL,L (-10),0,13:01,3,7,.429,1,4,.250,0,0,,0,1,1,2,0,0,0,1,7,4.6,+2,calatni01
23,13,2015-01-09,25-336,MEM,@,NOP,L (-11),0,2:10,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0,calatni01
24,14,2015-01-11,25-338,MEM,,PHO,W (+12),0,16:09,3,7,.429,1,2,.500,0,0,,0,1,1,1,1,0,2,3,7,2.1,-4,calatni01
25,15,2015-01-14,25-341,MEM,@,BRK,W (+11),0,12:21,2,5,.400,0,0,,1,2,.500,0,1,1,3,4,0,3,2,5,4.5,-4,calatni01
26,16,2015-01-16,25-343,MEM,@,ORL,W (+10),0,19:10,1,5,.200,0,1,.000,0,1,.000,0,2,2,6,1,0,1,1,2,2.9,+5,calatni01
27,17,2015-01-17,25-344,MEM,,POR,W (+4),0,18:14,1,3,.333,0,0,,0,0,,0,2,2,4,2,0,0,2,2,4.9,-8,calatni01
28,18,2015-01-19,25-346,MEM,,DAL,L (-8),0,12:56,1,2,.500,0,0,,0,0,,0,2,2,1,1,0,2,2,2,0.5,+2,calatni01
29,19,2015-01-21,25-348,MEM,,TOR,W (+6),0,13:02,3,5,.600,0,0,,0,0,,0,2,2,2,2,0,0,2,6,6.9,+8,calatni01
30,20,2015-01-24,25-351,MEM,,PHI,W (+18),0,7:04,2,2,1.000,0,0,,0,0,,0,2,2,0,1,0,0,1,4,4.6,0,calatni01
31,21,2015-01-26,25-353,MEM,,ORL,W (+9),0,15:24,3,6,.500,0,0,,0,0,,0,1,1,4,1,0,1,0,6,6.1,+5,calatni01
32,22,2015-01-27,25-354,MEM,@,DAL,W (+19),0,27:19,4,8,.500,2,3,.667,3,4,.750,0,5,5,2,2,0,1,4,13,10.9,+17,calatni01
33,23,2015-01-29,25-356,MEM,,DEN,W (+30),0,25:03,5,10,.500,0,1,.000,1,2,.500,0,1,1,5,1,0,0,2,11,9.6,+10,calatni01
34,24,2015-01-31,25-358,MEM,,OKC,W (+11),0,9:03,2,4,.500,0,0,,0,0,,0,0,0,2,2,1,0,0,4,6.1,+6,calatni01
35,25,2015-02-02,25-360,MEM,@,PHO,W (+1),0,10:44,2,3,.667,1,1,1.000,0,0,,0,1,1,1,1,0,0,0,5,5.7,+6,calatni01
36,26,2015-02-04,25-362,MEM,@,UTA,W (+10),0,21:07,3,4,.750,0,0,,0,1,.000,0,1,1,7,1,0,2,3,6,7.0,+11,calatni01
37,27,2015-02-06,25-364,MEM,@,MIN,L (-1),0,13:09,2,5,.400,0,1,.000,0,0,,0,0,0,2,0,0,2,2,4,-0.1,-7,calatni01
38,28,2015-02-08,26-001,MEM,,ATL,W (+6),0,10:31,0,4,.000,0,1,.000,0,0,,0,3,3,2,1,0,1,2,0,-1.3,-6,calatni01
39,29,2015-02-10,26-003,MEM,,BRK,W (+9),0,8:18,0,1,.000,0,1,.000,1,2,.500,0,1,1,2,2,0,1,2,1,1.8,+1,calatni01
40,30,2015-02-11,26-004,MEM,@,OKC,L (-16),0,24:08,5,8,.625,0,1,.000,0,0,,1,2,3,4,0,0,2,2,10,7.7,+9,calatni01
41,31,2015-02-22,26-015,MEM,@,POR,W (+6),0,14:46,1,4,.250,0,1,.000,0,0,,0,2,2,0,4,0,1,2,2,2.4,+10,calatni01
42,32,2015-02-23,26-016,MEM,@,LAC,W (+3),0,16:08,2,5,.400,0,1,.000,0,0,,0,3,3,3,2,0,1,1,4,4.9,+7,calatni01
43,33,2015-02-25,26-018,MEM,@,SAC,L (-12),0,12:45,3,7,.429,1,2,.500,0,0,,0,2,2,2,3,0,0,2,7,7.5,-3,calatni01
44,34,2015-02-27,26-020,MEM,,LAC,L (-18),0,16:14,1,6,.167,0,1,.000,1,2,.500,0,0,0,2,2,0,0,3,3,1.0,0,calatni01
45,35,2015-02-28,26-021,MEM,@,MIN,W (+4),0,12:24,2,3,.667,0,1,.000,0,1,.000,0,2,2,6,2,0,2,1,4,6.7,+2,calatni01
46,36,2015-03-03,26-024,MEM,,UTA,L (-11),0,21:13,3,5,.600,0,0,,1,3,.333,0,1,1,2,2,1,4,1,7,3.9,-6,calatni01
47,37,2015-03-04,26-025,MEM,@,HOU,W (+2),0,16:13,2,6,.333,1,3,.333,2,2,1.000,0,5,5,2,4,0,1,2,7,8.7,+13,calatni01
48,38,2015-03-06,26-027,MEM,,LAL,W (+7),0,12:53,3,5,.600,0,0,,2,2,1.000,0,1,1,0,3,0,0,1,8,8.6,-13,calatni01
49,39,2015-03-07,26-028,MEM,@,NOP,L (-6),0,19:41,3,3,1.000,1,1,1.000,2,4,.500,0,3,3,7,0,0,1,2,9,11.3,+5,calatni01
50,40,2015-03-09,26-030,MEM,@,CHI,W (+10),0,6:11,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-2.1,0,calatni01
51,41,2015-03-11,26-032,MEM,@,BOS,L (-3),0,10:36,0,3,.000,0,0,,0,0,,1,0,1,2,0,0,1,0,0,-1.0,+1,calatni01
