Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
43,43,2015-01-26,25-009,BOS,@,UTA,W (+9),0,29:10,6,8,.750,0,0,,2,2,1.000,1,6,7,1,0,2,1,4,14,12.8,+15,zellety01
44,44,2015-01-28,25-011,BOS,@,MIN,L (-12),0,19:52,3,4,.750,0,0,,0,0,,1,8,9,1,0,0,1,4,6,5.6,-2,zellety01
45,45,2015-01-30,25-013,BOS,,HOU,L (-6),0,18:03,2,8,.250,0,0,,3,4,.750,4,7,11,0,0,0,0,2,7,5.9,-3,zellety01
46,46,2015-02-01,25-015,BOS,,MIA,L (-8),1,31:36,6,13,.462,0,0,,5,8,.625,3,3,6,4,0,0,2,2,17,12.1,-5,zellety01
47,47,2015-02-03,25-017,BOS,@,NYK,W (+11),0,11:08,3,3,1.000,0,0,,3,4,.750,4,1,5,1,0,0,1,3,9,9.3,-5,zellety01
48,48,2015-02-04,25-018,BOS,,DEN,W (+4),1,26:34,6,12,.500,0,0,,2,3,.667,1,4,5,0,0,0,2,0,14,7.5,-9,zellety01
49,49,2015-02-06,25-020,BOS,,PHI,W (+11),0,25:53,6,10,.600,0,0,,4,6,.667,4,5,9,1,1,3,3,3,16,14.5,+7,zellety01
50,50,2015-02-07,25-021,BOS,@,MIL,L (-3),0,17:04,3,6,.500,0,0,,4,4,1.000,1,3,4,0,0,0,2,2,10,5.8,+8,zellety01
51,51,2015-02-11,25-025,BOS,,ATL,W (+1),0,16:53,2,5,.400,0,0,,2,2,1.000,3,2,5,1,0,1,0,3,6,6.2,+3,zellety01
52,52,2015-02-20,25-034,BOS,@,SAC,L (-8),1,30:53,9,16,.563,0,0,,4,4,1.000,4,0,4,6,0,1,1,5,22,19.1,+9,zellety01
53,53,2015-02-22,25-036,BOS,@,LAL,L (-7),1,35:46,4,8,.500,0,0,,0,0,,5,6,11,3,0,1,3,5,8,7.1,-3,zellety01
54,54,2015-02-23,25-037,BOS,@,PHO,W (+5),1,36:06,5,13,.385,0,0,,2,3,.667,2,4,6,0,0,1,1,1,12,6.4,-2,zellety01
55,55,2015-02-25,25-039,BOS,,NYK,W (+21),1,17:27,4,7,.571,0,0,,0,0,,1,2,3,0,0,0,1,4,8,3.4,-5,zellety01
56,56,2015-02-27,25-041,BOS,,CHO,W (+8),1,24:09,3,8,.375,0,0,,1,1,1.000,3,6,9,1,1,3,0,0,7,10.3,-14,zellety01
57,57,2015-03-01,25-043,BOS,,GSW,L (-5),1,27:20,7,13,.538,0,0,,3,3,1.000,3,3,6,1,0,1,1,1,17,13.7,+12,zellety01
58,58,2015-03-03,25-045,BOS,@,CLE,L (-31),1,12:20,2,3,.667,0,0,,0,0,,0,3,3,1,0,0,0,3,4,3.1,-12,zellety01
59,59,2015-03-04,25-046,BOS,,UTA,W (+1),1,29:48,4,8,.500,0,0,,0,2,.000,3,8,11,1,1,2,1,3,8,8.6,0,zellety01
60,60,2015-03-06,25-048,BOS,@,NOP,W (+6),1,14:21,3,7,.429,0,0,,0,0,,1,3,4,1,0,0,1,1,6,3.2,-1,zellety01
61,61,2015-03-08,25-050,BOS,@,ORL,L (-5),1,23:10,3,9,.333,0,0,,0,0,,2,4,6,0,0,0,1,5,6,0.5,-1,zellety01
62,62,2015-03-09,25-051,BOS,@,MIA,W (+10),1,14:51,3,5,.600,0,0,,0,0,,2,1,3,0,0,1,0,2,6,5.3,-4,zellety01
63,63,2015-03-11,25-053,BOS,,MEM,W (+3),1,23:12,3,8,.375,0,0,,6,6,1.000,3,6,9,3,0,3,2,3,12,12.5,-6,zellety01
64,64,2015-03-13,25-055,BOS,,ORL,W (+7),1,19:24,2,8,.250,0,0,,1,2,.500,4,2,6,1,0,0,0,2,5,3.1,-12,zellety01
65,65,2015-03-14,25-056,BOS,@,IND,W (+4),1,26:04,8,10,.800,0,0,,2,4,.500,1,6,7,0,0,0,0,1,18,15.5,+3,zellety01
66,66,2015-03-16,25-058,BOS,,PHI,W (+19),1,28:13,11,15,.733,0,0,,4,4,1.000,0,5,5,2,0,0,2,4,26,19.2,+16,zellety01
67,67,2015-03-18,25-060,BOS,@,OKC,L (-4),1,20:17,6,8,.750,0,0,,0,0,,0,1,1,2,0,0,2,1,12,8.1,-2,zellety01
68,68,2015-03-20,25-062,BOS,@,SAS,L (-12),1,22:57,2,7,.286,0,0,,1,2,.500,3,6,9,2,0,0,2,3,5,2.6,-9,zellety01
69,69,2015-03-22,25-064,BOS,,DET,L (-8),1,19:56,4,10,.400,0,0,,2,2,1.000,2,2,4,1,1,0,0,3,10,7.1,-18,zellety01
70,70,2015-03-23,25-065,BOS,@,BRK,W (+19),1,30:07,9,14,.643,0,0,,0,0,,1,6,7,3,0,1,2,2,18,14.3,+8,zellety01
71,71,2015-03-25,25-067,BOS,,MIA,L (-7),1,18:49,4,5,.800,0,0,,2,2,1.000,3,5,8,2,0,1,1,2,10,12.0,-4,zellety01
