<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
74,73,2015-03-31,32-349,SAS,@,MIA,W (+14),0,25:20,5,12,.417,1,3,.333,0,0,,1,1,2,2,0,0,3,2,11,3.2,+7
75,74,2015-04-01,32-350,SAS,@,ORL,W (+12),0,23:40,4,9,.444,2,5,.400,1,1,1.000,1,3,4,4,2,1,1,0,11,12.4,+37
76,75,2015-04-03,32-352,SAS,,DEN,W (+30),0,25:37,5,11,.455,1,4,.250,2,2,1.000,1,3,4,2,1,1,2,0,13,10.0,+12
77,76,2015-04-05,32-354,SAS,,GSW,W (+15),0,23:06,1,7,.143,0,1,.000,0,0,,0,5,5,3,0,0,1,0,2,0.1,+4
78,77,2015-04-07,32-356,SAS,@,OKC,W (+25),0,26:21,3,6,.500,0,0,,0,0,,1,3,4,6,0,1,3,2,6,5.7,+26
79,78,2015-04-08,32-357,SAS,,HOU,W (+12),0,27:13,7,14,.500,1,3,.333,0,0,,2,7,9,2,0,1,0,1,15,13.2,+20
80,79,2015-04-10,32-359,SAS,@,HOU,W (+1),0,25:45,4,13,.308,0,1,.000,2,2,1.000,3,2,5,4,0,0,0,5,10,6.0,+5
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
81,80,2015-04-12,32-361,SAS,,PHO,W (+16),1,24:17,2,5,.400,0,0,,2,2,1.000,1,4,5,0,0,0,3,1,6,1.8,+17
82,81,2015-04-15,32-364,SAS,@,NOP,L (-5),0,34:08,10,14,.714,0,1,.000,0,0,,0,5,5,5,0,0,4,0,20,15.2,-6
