<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,32,2014-12-29,24-235,CHO,,MIL,L (-10),1,48:35,7,22,.318,2,8,.250,12,13,.923,0,1,1,4,2,4,5,2,28,17.1,-6
33,33,2014-12-31,24-237,CHO,@,HOU,L (-19),1,34:36,4,11,.364,1,3,.333,3,3,1.000,1,0,1,5,1,1,1,1,12,10.4,-13
34,34,2015-01-02,24-239,CHO,,CLE,L (-4),1,40:27,4,16,.250,1,8,.125,1,3,.333,0,2,2,5,2,2,2,2,10,4.3,-1
35,35,2015-01-03,24-240,CHO,@,ORL,W (+8),1,38:48,10,21,.476,4,8,.500,6,7,.857,1,6,7,6,2,1,3,0,30,25.3,+13
36,36,2015-01-05,24-242,CHO,@,BOS,W (+9),1,38:53,12,26,.462,2,7,.286,7,7,1.000,1,4,5,5,0,1,1,2,33,23.9,+12
37,37,2015-01-07,24-244,CHO,,NOP,W (+4),1,36:25,12,24,.500,1,3,.333,6,8,.750,1,3,4,4,1,0,2,2,31,20.8,-4
38,38,2015-01-08,24-245,CHO,@,TOR,W (+8),1,40:58,12,25,.480,1,5,.200,4,4,1.000,3,4,7,8,3,0,0,1,29,27.8,+17
39,39,2015-01-10,24-247,CHO,@,NYK,W (+28),1,28:24,8,13,.615,4,7,.571,8,9,.889,0,7,7,1,1,0,2,0,28,23.5,+36
40,40,2015-01-14,24-251,CHO,,SAS,L (-5),1,35:27,9,24,.375,1,4,.250,9,10,.900,1,0,1,3,0,3,4,1,28,14.9,-4
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,,2015-01-17,24-254,CHO,,IND,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,,2015-01-19,24-256,CHO,,MIN,W (+25),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,41,2015-01-21,24-258,CHO,,MIA,W (+2),1,34:10,4,17,.235,2,9,.222,5,6,.833,0,2,2,1,0,0,1,1,15,4.2,+4
44,42,2015-01-23,24-260,CHO,@,CLE,L (-39),1,25:25,3,14,.214,1,5,.200,1,1,1.000,0,0,0,4,2,0,2,2,8,1.4,-24
45,,2015-01-24,24-261,CHO,,NYK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2015-01-28,24-265,CHO,,SAS,L (-9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,,2015-01-31,24-268,CHO,,DEN,W (+18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
48,,2015-02-02,24-270,CHO,,WAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
49,,2015-02-05,24-273,CHO,,WAS,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
50,,2015-02-07,24-275,CHO,,PHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,,2015-02-08,24-276,CHO,,IND,L (-1),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2015-02-10,24-278,CHO,,DET,L (-28),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2015-02-21,24-289,CHO,,OKC,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2015-02-22,24-290,CHO,,DAL,L (-11),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
