Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Ekpe Udoh,2011,2015,F,6-10,240,May 20 1987,Baylor University,udohek01
Beno Udrih,2005,2016,G,6-3,205,July 5 1982,,udrihbe01
