Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Serge Ibaka,2010,2016,F,6-10,245,September 18 1989,,ibakase01
Andre Iguodala,2005,2016,G-F,6-6,207,January 28 1984,University of Arizona,iguodan01
Ersan Ilyasova,2007,2016,F,6-10,235,May 15 1987,,ilyaser01
Joe Ingles,2015,2016,F-G,6-8,226,October 2 1987,,inglejo01
Damien Inglis,2016,2016,F,6-8,246,May 20 1995,,inglida01
Kyrie Irving,2012,2015,G,6-3,193,March 23 1992,Duke University,irvinky01
