Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Cody Zeller,2014,2016,F-C,7-0,240,October 5 1992,Indiana University,zelleco01
Tyler Zeller,2013,2016,F-C,7-0,253,January 17 1990,University of North Carolina,zellety01
