Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Jonas Valanciunas,2013,2016,C,7-0,255,May 6 1992,,valanjo01
Anderson Varejao,2005,2016,F-C,6-10,273,September 28 1982,,varejan01
Greivis Vasquez,2011,2016,G,6-6,217,January 16 1987,University of Maryland,vasqugr01
Rashad Vaughn,2016,2016,G,6-6,202,August 16 1996,University of Nevada Las Vegas,vaughra01
Charlie Villanueva,2006,2016,F,6-11,232,August 24 1984,University of Connecticut,villach01
Noah Vonleh,2015,2016,F,6-10,240,August 24 1995,Indiana University,vonleno01
Nikola Vucevic,2012,2016,C,7-0,260,October 24 1990,University of Southern California,vucevni01
Sasha Vujacic,2005,2016,G,6-7,195,March 8 1984,,vujacsa01
