<!-- ALREADYCSV -->
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,32,2015-01-02,33-291,ATL,@,UTA,W (+6),1,32:00,3,5,.600,1,3,.333,2,2,1.000,2,6,8,2,1,0,1,6,9,8.9,+28
33,33,2015-01-03,33-292,ATL,@,POR,W (+8),1,36:10,5,11,.455,4,9,.444,0,0,,0,8,8,1,1,1,0,1,14,12.7,+17
34,34,2015-01-05,33-294,ATL,@,LAC,W (+9),1,33:21,3,7,.429,3,6,.500,0,0,,0,3,3,4,1,0,1,2,9,8.2,+11
35,35,2015-01-07,33-296,ATL,,MEM,W (+10),1,34:00,5,10,.500,4,9,.444,0,0,,0,3,3,1,2,0,3,0,14,9.6,+13
36,36,2015-01-09,33-298,ATL,@,DET,W (+3),1,32:55,4,8,.500,3,3,1.000,0,0,,0,4,4,0,0,0,1,2,11,6.4,+8
37,37,2015-01-11,33-300,ATL,,WAS,W (+31),1,31:52,6,8,.750,5,7,.714,2,3,.667,0,3,3,4,1,0,2,2,19,17.3,+29
38,38,2015-01-13,33-302,ATL,@,PHI,W (+18),1,28:41,5,8,.625,4,7,.571,1,2,.500,0,4,4,4,0,0,2,0,15,13.0,+22
39,,2015-01-14,33-303,ATL,,BOS,W (+14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,39,2015-01-16,33-305,ATL,@,TOR,W (+21),1,29:18,4,6,.667,3,5,.600,0,0,,0,1,1,2,1,0,5,1,11,5.7,+28
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
41,40,2015-01-17,33-306,ATL,@,CHI,W (+8),1,36:41,7,10,.700,7,9,.778,3,3,1.000,0,6,6,2,1,2,0,0,24,25.4,+14
42,41,2015-01-19,33-308,ATL,,DET,W (+11),1,31:32,4,8,.500,3,6,.500,2,2,1.000,0,6,6,5,0,0,2,2,13,11.5,+14
43,42,2015-01-21,33-310,ATL,,IND,W (+19),1,30:54,4,6,.667,2,4,.500,0,0,,0,4,4,2,1,0,2,3,10,7.8,+26
44,43,2015-01-23,33-312,ATL,,OKC,W (+10),1,32:50,2,5,.400,1,3,.333,0,0,,1,3,4,2,0,0,4,1,5,0.9,+8
45,44,2015-01-25,33-314,ATL,,MIN,W (+12),1,30:19,4,8,.500,4,8,.500,1,1,1.000,0,3,3,4,1,0,3,4,13,9.1,+13
46,45,2015-01-28,33-317,ATL,,BRK,W (+11),1,36:01,6,10,.600,5,8,.625,0,0,,0,2,2,3,1,2,0,2,17,16.7,-2
47,46,2015-01-30,33-319,ATL,,POR,W (+6),1,38:59,5,7,.714,2,4,.500,4,5,.800,0,6,6,1,1,0,1,1,16,14.8,+11
48,47,2015-01-31,33-320,ATL,,PHI,W (+6),1,33:01,4,9,.444,4,6,.667,2,2,1.000,0,5,5,0,0,0,0,3,14,9.6,+11
49,48,2015-02-02,33-322,ATL,@,NOP,L (-15),1,29:55,5,7,.714,2,2,1.000,0,0,,0,3,3,1,0,0,1,2,12,8.9,-19
50,49,2015-02-04,33-324,ATL,,WAS,W (+9),1,36:40,1,7,.143,1,6,.167,3,3,1.000,0,5,5,6,0,0,1,2,6,5.4,+6
51,50,2015-02-06,33-326,ATL,,GSW,W (+8),1,34:06,6,10,.600,5,9,.556,0,0,,0,7,7,2,2,1,1,2,17,16.8,+16
52,51,2015-02-08,33-328,ATL,@,MEM,L (-6),1,37:04,3,6,.500,2,5,.400,0,0,,0,4,4,0,1,1,2,2,8,5.1,-5
53,52,2015-02-09,33-329,ATL,@,MIN,W (+12),1,31:00,4,10,.400,4,9,.444,0,0,,0,5,5,1,1,1,0,1,12,10.1,+14
54,53,2015-02-11,33-331,ATL,@,BOS,L (-1),1,36:06,1,5,.200,1,5,.200,1,2,.500,0,5,5,2,0,1,2,3,4,0.9,+8
55,54,2015-02-20,33-340,ATL,,TOR,L (-25),1,27:23,3,13,.231,2,11,.182,3,4,.750,0,4,4,0,0,1,2,2,11,1.8,-24
56,55,2015-02-22,33-342,ATL,@,MIL,W (+11),1,34:35,4,11,.364,4,9,.444,0,0,,0,2,2,3,1,0,2,4,12,6.0,+8
57,56,2015-02-25,33-345,ATL,,DAL,W (+17),1,33:41,6,12,.500,4,10,.400,0,0,,1,5,6,3,0,2,0,0,16,15.7,+28
58,57,2015-02-27,33-347,ATL,,ORL,W (+7),1,34:25,2,5,.400,2,5,.400,2,2,1.000,0,3,3,2,1,2,1,1,8,8.6,+4
59,58,2015-02-28,33-348,ATL,@,MIA,W (+2),1,35:34,2,9,.222,2,7,.286,1,1,1.000,0,6,6,3,4,1,2,4,7,6.5,+1
60,59,2015-03-03,33-351,ATL,,HOU,W (+8),1,30:45,2,6,.333,1,5,.200,0,0,,0,1,1,2,0,1,0,1,5,3.6,+10
Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
61,60,2015-03-06,33-354,ATL,,CLE,W (+9),1,32:43,2,8,.250,2,7,.286,2,2,1.000,1,4,5,4,0,0,3,1,8,4.5,+9
