Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,pname
7,7,2014-11-08,33-115,MEM,@,MIL,L (-1),1,35:55,7,14,.500,1,1,1.000,7,7,1.000,6,8,14,1,0,0,1,5,22,19.3,+2,randoza01
8,8,2014-11-11,33-118,MEM,,LAL,W (+5),1,29:35,4,10,.400,0,0,,3,4,.750,4,6,10,0,0,0,1,3,11,7.6,-8,randoza01
9,9,2014-11-13,33-120,MEM,,SAC,W (+1),1,34:15,6,13,.462,0,0,,5,8,.625,0,8,8,2,0,0,0,3,17,11.7,+3,randoza01
10,10,2014-11-15,33-122,MEM,,DET,W (+7),1,37:04,7,22,.318,0,0,,3,6,.500,13,9,22,4,0,0,1,2,17,16.0,+6,randoza01
11,11,2014-11-17,33-124,MEM,,HOU,W (+26),1,25:58,4,11,.364,0,0,,6,6,1.000,2,5,7,1,2,0,1,3,14,11.3,+26,randoza01
12,12,2014-11-19,33-126,MEM,@,TOR,L (-4),1,38:02,7,18,.389,0,0,,4,4,1.000,8,10,18,0,2,0,3,2,18,15.0,+5,randoza01
13,13,2014-11-21,33-128,MEM,,BOS,W (+17),1,27:17,7,12,.583,0,0,,2,2,1.000,2,14,16,4,0,0,2,0,16,16.8,+9,randoza01
14,14,2014-11-23,33-130,MEM,,LAC,W (+16),1,29:18,5,11,.455,0,0,,0,0,,3,5,8,1,1,0,4,2,10,4.8,+12,randoza01
15,15,2014-11-26,33-133,MEM,@,LAL,W (+6),1,27:37,7,10,.700,0,0,,2,4,.500,4,5,9,0,0,0,3,0,16,12.3,+6,randoza01
16,16,2014-11-28,33-135,MEM,@,POR,W (+13),1,31:40,7,13,.538,0,0,,0,5,.000,3,10,13,1,2,0,2,3,14,10.3,+10,randoza01
17,17,2014-11-30,33-137,MEM,@,SAC,W (+12),1,34:24,8,16,.500,0,0,,6,10,.600,2,10,12,4,3,0,0,3,22,21.4,+14,randoza01
18,18,2014-12-03,33-140,MEM,@,HOU,L (-9),1,19:29,2,5,.400,0,0,,4,6,.667,2,4,6,0,0,0,1,0,8,6.1,-16,randoza01
